token,label
a,DT
really,R
slick,R
and,PSP
well,R
edited,V
page,N
Everything,PRP
is,DT
high,J
quality,N
here,R
not,R
like,CC
the,DT
crap,N
we,PRP
see,V
on,CC
other,J
confessions,N
pages,N
Of,PSP
all,DT
the,DT
desi,J
college,N
confessions,N
sites,N
I,PRP
like,V
this,J
the,DT
most,R
keep,V
up,J
the,DT
good,J
work,N
Here,R
is,DT
another,J
reason,N
I,PRP
wish,V
I,PRP
went,V
to,CC
IITB,N
instead,R
if,PSP
ending,V
up,J
in,PSP
this,J
maddu,X
dump,N
,
accha,N
akhon,N
ghumanor,N
try,V
kor,X
onk,X
rat,X
hoise,V
,
Uhhh,PRT
what,PRP
ever,R
happened,V
to,PSP
the,DT
this,PRP
page,N
is,V
dedicated,V
to,PSP
quality,J
motto,N
I,PRP
thought,V
stuff,N
like,PSP
this,PRP
made,V
its,DT
way,N
to,PSP
the,DT
other,J
confessions,N
page,N
,
years,N
ago,R
a,DT
girl,N
met,V
an,DT
IITian,N
and,CC
they,PRP
started,V
going,V
out,PRT
They,PRP
then,R
broke,V
up,PRT
because,PSP
of,PSP
stupid,J
problems,N
The,DT
probability,N
of,PSP
you,PRP
reading,V
this,PRP
is,V
virtually,R
nil,N
but,CC
I,PRP
do,V
wish,V
we,PRP
had,V
never,R
broken,V
up,PRT
I,PRP
know,V
still,R
single,SYM
but,CC
I,PRP
been,V
able,J
to,PRT
tell,V
you,PRP
my,DT
real,J
feelings,N
If,PSP
somehow,R
you,PRP
magically,R
see,V
this,PRP
and,CC
msg,V
me,PRP
I,PRP
know,V
the,DT
universe,N
is,V
giving,V
me,PRP
a,DT
sign,V
that,PRP
we,PRP
should,V
be,V
together,R
again,R
,
Upset,G_J
ho,G_V
kya,G_J
,
I,PRP
agree,V
,
bahut,N
acchi,J
kavita,J
ati,SYM
sundar,N
aage,N
se,PRP
dhyaan,V
rakhiye,N
only,R
lines,N
for,PSP
CaptionThisPic,N
,
Language,V
barriers,N
Any,V
species,V
of,PSP
the,DT
above,PSP
mentioned,V
group,N
who,PRP
can,V
speak,V
hindi,N
passably,R
well,J
will,V
have,V
a,DT
very,R
diverse,J
friend,N
iitb,X
,
I,PRP
am,V
male,J
G1,X
and,PSP
G2,X
are,V
females,N
Though,PSP
G1,X
and,PSP
G2,X
are,V
good,J
friends,N
with,PSP
me,PRP
like,V
to,CC
mix,V
with,PSP
me,PRP
and,PSP
G2,X
like,V
G1,X
mixing,V
with,PSP
me,PRP
All,DT
the,DT
are,V
kinda,R
committed,V
in,PSP
their,DT
own,J
life,N
So,PSP
F,X
is,DT
sort,X
of,CC
out,R
of,CC
question,N
What,PRP
should,V
I,PRP
do,V
,
for,PSP
time,G_N
passa,G_N
,
plus,J
i,PRP
have,V
a,DT
heart,N
,
Mast,G_J
hu,G_PRT
di,G_V
,
cheen,V
ke,PSP
rakh,V
le,V
sab,SYM
ke,PSP
Perform,V
na,PRT
kren,V
tou,CC
phir,R
kehna,V
,
Whi,$
na,G_PRT
,
Acha,G_N
g,G_N
,
I,PRP
studied,V
at,PSP
PACE,N
and,CC
we,PRP
were,V
taught,V
by,PSP
this,PRP
vernacular,J
genius,N
who,PRP
said,V
that,PRP
he,V
taught,V
Priyank,N
and,CC
that,PRP
he,V
was,V
his,PRP
favorite,N
Then,R
he,V
started,V
talking,V
about,PSP
how,R
Priyanks,N
are,PSP
used,V
to,PRT
remove,V
caffeine,N
from,PSP
coffee,N
beans,N
And,CC
everybody,PRP
is,V
being,V
really,R
dumb,J
and,CC
thinking,V
that,PRP
suddenly,R
all,DT
lost,V
their,PRP
hearing,V
senses,N
After,PSP
some,DT
time,N
he,V
draws,V
those,DT
structure,N
on,PSP
the,DT
board,N
It,PRP
turns,V
out,PRT
he,V
was,V
talking,V
about,PSP
freons,X
,
Jhaadu,N
se,PSP
kaam,N
nahi,PRT
chala,V
tou,PRT
ab,R
tujhe,PRP
muli,N
chahiye,V
Gaand,PRT
hai,V
ya,CC
office,N
,
Good,J
Old,N
DD,N
sets,V
the,DT
Holi,N
mood,N
with,PSP
Aaj,N
na,PRT
chhodenge,N
hum,V
humjoli,N
on,PSP
Rangoli,N
,
tell,V
him,PRP
u,PRP
got,V
screwed,V
while,PSP
being,V
drunk,J
and,CC
leave,V
the,DT
rest,N
to,PRT
him,PRP
,
patiyala,G_N
suit,G_J
,
kya,J
hal,V
hai,V
,
Oye,PRT
hoye,PRT
ik,SYM
hor,CC
out,R
Balle,PRT
balle,PRT
,
He,V
cries,V
and,CC
cries,V
and,CC
cries,V
becoz,PSP
u,PRP
wnt,V
let,V
him,PRP
do,V
it,PRP
Did,V
you,PRP
say,PSP
you,PRP
were,V
seeing,V
a,DT
,
aa,PSP
jaiyu,G_N
,
This,PRP
is,V
how,R
serial,N
killers,N
are,PSP
born,V
,
Bass,N
whats,N
app,N
pe,PSP
rehta,N
hoon,V
accha,N
love,N
punjab,N
dekho,V
amrinder,N
ki,PRP
angrez,N
se,PRP
better,V
hai,V
late,V
dis,V
tym,N
AKSHAY,V
On,PSP
Majha,N
Katta,N
,
cockroaches,N
ko,PSP
raat,N
ko,PSP
baygon,N
ka,PSP
bharta,N
khila,V
dene,V
ka,PSP
,
chl,G_J
bhaag,G_N
,
di,G_V
,
apna,N
kaam,N
banta,N
bhaad,N
main,N
jaaye,N
janta,N
true,J
but,CC
stinking,V
as,PSP
well,R
,
thats,R
mainly,R
bcoz,CC
he,V
is,V
sooooo,R
by,PSP
U,PRP
,
I,PRP
never,R
studied,V
in,PSP
the,DT
IIT,N
system,N
When,R
I,PRP
was,V
selected,V
as,PSP
faculty,N
at,CC
IITB,N
I,PRP
was,V
really,R
tense,J
to,PSP
teach,V
what,PRP
I,PRP
thought,V
were,V
super,J
brilliant,J
IITians,N
After,PSP
a,DT
few,J
months,N
months,N
of,PSP
joining,V
I,PRP
realized,V
that,DT
many,J
of,PSP
my,DT
senior,N
are,V
useless,J
old,J
farts,N
who,PRP
have,V
worse,J
teaching,N
skill,N
than,PSP
me,PRP
This,DT
feeling,V
boosted,V
my,DT
confidence,N
and,PSP
now,R
having,V
a,DT
great,J
time,N
here,R
doing,V
quite,R
good,J
,
Are,G_V
kab,PSP
jaoge,G_N
lene,G_V
,
Are,G_V
aaunga,G_N
,
Vivekanand,N
Narayan,N
Vedang,N
Chauhan,N
Pragyensh,N
Kumar,N
Harsh,N
Kumar,N
Narula,N
Mritunjay,N
Tiwari,N
That,DT
reminds,V
me,PRP
of,PSP
something,N
,
kuch,G_SYM
ni,G_PRT
,
well,R
played,V
yuvi,N
bhai,N
u,PRP
were,V
sweeping,V
the,DT
ball,N
very,R
well,R
shaadi,N
ke,PRP
baad,V
kaam,R
aayega,N
hahaha,PRT
,
Rakesh,N
,
accha,N
hua,V
Chadarmod,V
the,DT
dono,N
,
DD,N
EE,N
FF,N
,
office,N
ko,PSP
kaam,V
too,R
much,J
work,N
load,N
,
ke,PSP
chad,V
gayi,V
hai,V
aaj,R
ko,PSP
bhi,PRT
express,V
kar,V
rahe,V
hain,V
,
Dhoni,N
should,V
remind,V
Faf,N
abt,PSP
IPL,N
Agar,CC
khelna,V
hai,V
toh,PRT
out,R
ho,V
jaa,V
Hussey,N
z,PRP
back,N
in,PSP
d,DT
team,N
,
Pata,G_J
hai,G_V
,
To,PSP
ap,G_V
ka,G_N
karoge,G_V
ab,PSP
di,G_PRP
,
pori,J
team,N
k,CC
khilaf,J
operation,N
hona,V
chahiye,V
aur,CC
misbah,N
ko,PSP
b,PRT
ab,R
team,N
k,PSP
jan,PSP
chorni,N
chahiye,V
shoib,N
akhter,N
,
toh,PSP
ki,PSP
baat,V
hai,V
nai,PSP
abhi,R
tak,PSP
toss,V
bhi,PRT
nhi,PRT
jita,V
kya,PSP
khak,J
jitenge,V
to,PSP
be,V
indian,J
,
Jage,G_N
hue,G_J
ho,G_V
,
Oh,G_PRT
okðŸ˜œðŸ˜œ,G_N
Nai,G_N
itna,G_N
b,G_V
ni,G_PRT
beta,G_N
,
abhi,N
abhi,N
cricket,V
dekhna,V
suru,N
kiya,V
hai,V
Ya,PRT
kabhi,N
dekha,V
nahi,N
Get,V
involved,V
Be,V
the,DT
reason,N
for,PSP
win,V
,
Ab,G_N
summer,G_N
training,G_N
dekhni,G_V
hai,G_V
koi,G_SYM
acchi,G_J
si,G_PRP
or,CC
btaa,G_N
,
I,PRP
am,V
graduating,V
this,PRP
year,N
Four,SYM
years,N
ago,R
as,PSP
a,DT
reward,N
of,PSP
clearing,V
JEE,N
I,PRP
was,V
handed,V
a,DT
letter,N
called,V
IIT,N
Bombay,N
which,DT
contained,V
all,DT
the,DT
secrets,N
of,PSP
success,N
All,J
that,PRP
was,V
expected,V
of,PSP
me,PRP
was,V
to,PRT
open,V
the,DT
letter,N
carefully,R
and,CC
learn,V
the,DT
content,N
I,PRP
shall,V
pass,V
it,PRP
to,PRT
one,SYM
of,PSP
my,DT
juniors,N
Sealed,J
unopened,J
and,CC
unread,J
,
Acha,G_N
Rona,G_N
dhona,G_N
karte,G_N
ho,G_V
,
For,PSP
some,DT
reason,N
aaj,X
dhoop,N
almost,J
daant,N
laga,J
rahi,V
hai,V
parents,N
ki,PRP
tarah,N
,
I,PRP
was,V
in,PSP
IITB,N
way,N
before,PSP
Hiranandani,N
was,V
built,V
as,PSP
a,DT
spoilt,J
city,N
kid,N
I,PRP
just,R
crap,N
in,PSP
the,DT
hostel,V
bogs,V
I,PRP
would,V
ride,V
my,DT
Yamaha,N
all,DT
the,DT
way,N
to,CC
Leela,N
to,CC
crap,N
in,PSP
their,DT
palatial,J
toilets,N
In,PSP
those,DT
days,N
that,PRP
was,V
the,DT
only,J
hotel,N
around,PSP
for,CC
miles,N
,
II,N
does,V
not,R
warrant,V
you,PRP
a,DT
DUGC,N
takes,V
up,PRT
your,DT
case,N
and,PSP
then,R
decides,V
whether,PSP
or,PSP
not,R
you,PRP
deserve,V
,
di,G_V
aise,G_R
mat,G_N
bolo,G_N
,
In,PSP
my,J
4th,DT
year,N
I,PRP
had,V
to,CC
do,V
hrs,N
community,N
service,N
for,CC
DAC,X
I,PRP
got,V
in,PSP
yr,N
another,J
story,N
so,PSP
I,PRP
conned,V
a,DT
cool,J
prof,N
to,CC
let,V
me,PRP
do,V
chamchagiri,N
for,CC
him,PRP
in,PSP
his,J
lab,N
and,PSP
he,PRP
would,V
give,V
me,PRP
a,DT
certi,X
saying,V
I,PRP
did,V
the,DT
community,N
service,N
under,PSP
his,J
supervision,N
,
4,PSP
ki,G_PRT
chutti,G_N
hai,G_V
Ni,CC
jaane,G_N
ka,G_N
man,G_N
har,G_V
jagah,G_N
hai,G_V
,
d,DT
way,N
boy,N
accha,N
kar,V
raha,V
hai,V
AshWIN,CC
,
itne,G_N
chaate,G_V
khayega,G_N
pdai,G_N
bhul,G_N
jyega,G_N
,
I,PRP
got,V
dumped,V
after,PSP
years,N
Feel,V
like,R
shit,PRT
Really,R
on,PSP
the,DT
verge,N
of,PSP
being,V
suicidal,J
Anyone,PRP
got,V
any,DT
suggestions,N
,
Pakistani,J
s,PSP
khushi,N
is,V
directly,R
propotional,J
to,PRT
defeat,V
SA,N
walo,PRT
aj,R
na,PSP
phorne,N
dena,V
inko,PRP
phatake,N
,
Usi,G_N
se,G_PRP
karo,G_V
baat,G_N
,
Nai,G_PRT
bhejo,G_V
,
May,G_V
this,DT
season,G_N
of,PSP
color,G_N
bring,G_V
you,G_PRP
cheer,G_J
and,CC
happiness,G_V
May,G_V
the,DT
colors,G_N
of,PSP
the,DT
Holi,G_N
continues,G_N
to,PSP
illuminate,G_V
your,DT
life,G_N
and,CC
,
not,PRT
sure,J
but,CC
uski,N
shadi,N
fix,N
ho,V
gayi,V
hai,V
aur,CC
bandi,N
nitish,N
kumar,N
ki,PSP
relative,J
hai,V
Hitendra,N
Katiyar,N
Anant,N
Tiwari,N
,
kuch,SYM
bhi,PRT
,
Indians,N
deserved,V
this,DT
win,V
congrats,N
Pakteam,N
tum,X
wapas,N
ghar,N
awo,PSP
ye,PRP
tumaray,N
bas,V
ka,PRT
kaam,N
nahi,N
,
Khana,G_N
hogya,G_N
,
daya,N
,
accha,N
topic,J
change,N
karo,V
,
Nothing,N
is,PRP
bigger,J
than,PSP
COUNTRY,N
HUM,PRP
INDIAWAALE,N
Jo,PRP
KHUSHI,J
INDIA,N
Ki,PSP
JEET,N
Me,PSP
milti,V
wo,PRP
aur,CC
kahi,PRP
nahi,PRT
JAI,N
HIND,N
,
Ye,G_PRP
kya,G_N
kya,G_N
serial,G_J
dekhte,G_V
rehte,G_V
hain,G_V
,
hahahaha,PRT
kbhi,PRP
kbhi,PRP
achi,J
hpti,V
hai,V
re,V
maybe,PRP
hogya,V
to,PRT
phr,R
to,PSP
balle,PRT
balle,PRT
oye,PRT
,
RT,R
true,J
that,PSP
or,CC
kya,J
chaiye,N
salo,V
tumhe,N
,
bhak,V
saala,PRT
,
Eddie,N
You,PRP
are,V
a,DT
My,DT
observations,N
on,CC
your,DT
commenting,V
style,N
and,PSP
a,DT
comparative,J
observation,N
on,CC
the,DT
guys,N
in,PSP
that,DT
photo,N
you,PRP
must,V
be,V
the,DT
guy,N
raising,V
his,PRP
left,J
hand,N
or,PSP
the,DT
guy,N
in,PSP
the,DT
yellow,J
shirt,N
That,PRP
s,V
all,DT
your,DT
honor,N
,
Ravi,N
Kumar,N
hostel,N
mei,N
ladko,N
ladkiyo,N
ko,PSP
milne,N
wala,J
hai,PRT
kuch,PRT
dino,N
ka,PSP
intezaar,N
karlo,N
,
Physics,N
Department,N
I,PRP
know,V
that,DT
guy,N
spotted,V
him,PRP
days,N
back,R
before,PSP
PH,X
exam,N
,
wifi,G_PRP
ni,G_PRT
h,G_PRT
,
yea,PRT
i,PRP
can,V
not,PRT
disagree,V
with,PSP
the,DT
confession,N
and,CC
yes,PRT
i,PRP
was,V
among,PSP
the,DT
exceptions,N
,
Kiski,G_N
shadi,G_N
bhaiyya,G_N
,
Tension,G_N
na,G_PRT
ke,G_PRP
,
We,PRP
used,V
to,CC
go,V
to,CC
the,DT
top,J
floors,N
in,CC
MB,N
and,PSP
spit,V
down,R
the,DT
middle,J
of,CC
the,DT
pool,N
to,CC
see,V
who,PRP
would,V
make,V
it,PRP
all,DT
the,DT
way,N
down,R
and,PSP
once,R
we,PRP
blew,V
up,R
a,DT
condom,N
and,PSP
sent,V
it,PRP
down,R
too,R
,
Lab,G_V
me,G_PRP
items,G_N
ka,G_N
rs,G_V
sai,G_PRP
hai,G_V
ya,G_PRT
nqi,G_N
,
I,PRP
like,R
boobies,N
I,PRP
specifically,R
like,R
the,DT
boobies,N
of,PSP
my,DT
friend,N
I,PRP
pretend,V
not,PRT
to,PRT
be,V
interested,J
in,PSP
my,DT
boobies,N
so,R
that,PRP
she,PRP
suspect,V
me,PRP
leching,V
shamelessly,R
at,PSP
her,PRP
boobies,N
I,PRP
really,R
like,R
them,PRP
boobies,N
,
hm,G_V
dono,G_SYM
bich,G_N
mei,G_N
na,G_PRT
bol,G_N
,
Damnn,PRT
frustroo,J
junta,N
,
In,PSP
my,DT
sem,N
during,PSP
PH209,X
I,PRP
bunked,V
several,J
classes,N
and,PSP
when,R
I,PRP
opened,V
the,DT
textbook,N
to,PSP
mug,V
I,PRP
realized,V
there,R
are,V
a,DT
few,J
greek,J
letters,N
that,PSP
I,PRP
know,V
hence,R
I,PRP
decided,V
to,PSP
mug,V
the,DT
entire,J
greek,J
alphabet,N
So,PSP
I,PRP
learned,V
all,DT
the,DT
letters,N
and,PSP
how,R
to,PSP
write,V
pronounce,V
them,PRP
Then,R
I,PRP
got,V
really,R
ambitious,J
I,PRP
started,V
writing,V
down,PRT
class,N
notes,N
substituting,V
greek,J
letters,N
instead,R
of,PSP
the,DT
equivalent,N
english,N
letters,N
in,PSP
all,DT
classes,N
By,PSP
the,DT
end,N
of,PSP
the,DT
semester,N
I,PRP
was,V
able,J
to,PSP
write,V
in,PSP
fluently,R
as,PSP
fast,J
as,PSP
the,DT
prof,N
would,V
blabber,V
By,PSP
the,DT
time,N
endsems,V
came,V
I,PRP
opened,V
my,DT
notes,N
to,PSP
mug,V
and,PSP
realized,V
that,PRP
while,PSP
I,PRP
could,V
transliterate,V
very,R
fast,J
I,PRP
develop,V
the,DT
reverse,N
skill,N
to,PSP
read,V
So,PSP
a,DT
day,N
before,PSP
the,DT
endsems,N
there,R
I,PRP
was,V
all,DT
my,DT
notes,N
were,V
in,PSP
greek,J
and,PSP
I,PRP
read,V
them,PRP
I,PRP
flunked,V
out,PSP
of,PSP
subjects,N
that,PSP
semester,N
,
waise,G_V
wo,G_V
bht,G_N
achi,G_J
kbhi,G_N
use,G_V
chodna,G_N
ni,G_PRT
okkkk,G_N
,
Ranjan,N
Sahu,N
,
hmmmm,G_PRT
,
U,PRP
will,V
cheat,V
ur,PRP
husband,N
too,R
,
Yes,PRT
Aero,N
totally,R
rocks,N
Ed,N
,
Captain,N
Obvious,N
,
sonia,N
ka,N
andu,N
banene,N
se,PRP
to,PSP
accha,V
hai,V
modi,N
ka,N
Chamcha,N
banana,N
great,J
job,N
Keep,V
gud,V
work,N
onn,N
,
Yese,N
Pitch,N
pe,PSP
Runs,N
banana,N
TALENT,N
ka,N
kaam,V
hai,V
,
ne,PSP
toss,V
jita,V
or,CC
li,V
,
Phool,N
samaj,N
kertora,N
tha,DT
jiskoaaj,N
kanta,J
ban,V
kermujhe,N
tornelaga,N
heFollow,J
,
Good,J
Morning,N
Bharat,X
Mata,N
Ki,PRP
Jai,SYM
,
gone,V
Thanks,N
to,PSP
ALLAH,V
itni,N
turning,V
pitch,N
per,PSP
us,PRP
ka,N
koi,PRP
kaam,N
bhi,N
nahin,V
tha,N
,
Sorry,V
we,PRP
are,PSP
not,PRT
for,PSP
sale,PRT
,
of,PSP
my,DT
friends,N
in,CC
IITB,N
is,V
from,PSP
my,DT
hometown,N
He,PRP
lives,V
in,CC
a,DT
UG,N
hostel,N
and,PSP
uses,V
my,DT
room,N
in,CC
Tansa,X
like,R
a,DT
brothel,X
he,PRP
says,V
abe,PSP
thodi,J
der,J
room,N
chahiye,V
kuch,SYM
kaam,N
hai,PRT
tu,PRP
kab,PRP
nahi,N
hoga,N
room,N
pe,PSP
bata,J
de,PSP
tab,PRT
aajaunga,N
mera,N
roomie,N
maanta,N
hi,PRT
nahi,PRT
Being,V
a,DT
friend,N
I,PRP
used,V
to,PSP
agree,V
he,PRP
had,V
a,DT
spare,J
key,N
and,PSP
knew,V
my,DT
lab,N
schedule,N
After,PSP
some,PRP
days,N
I,PRP
found,V
out,PRT
he,PRP
brings,V
randis,N
from,PSP
outside,J
and,PSP
fucks,V
them,PRP
in,CC
my,DT
room,N
I,PRP
was,V
fucking,R
disgusted,J
I,PRP
had,V
to,PSP
throw,V
the,DT
mattress,N
which,J
I,PRP
had,V
been,V
sleeping,V
on,PSP
,
So,PSP
saying,V
its,DT
okay,PRT
for,PSP
women,N
to,PRT
bait,V
lure,V
and,CC
use,V
guys,N
then,R
,
But,CC
toss,V
to,PSP
nay,PSP
jita,V
,
fir,G_N
tere,G_PRP
ko,PSP
de,PSP
dungi,G_N
,
maje,G_V
me,G_PRP
,
Are,V
u,PRP
a,DT
maal,J
I,PRP
mean,V
girl,N
,
To,PSP
human,G_V
to,PSP
main,G_N
bhi,G_N
hu,G_V
na,G_PRT
,
Oye,PRT
Hoye,PRT
Balle,PRT
Balle,PRT
you,PRP
rock,J
and,CC
the,DT
,
Kaisi,G_N
,
Ab,R
toss,V
jita,V
hai,V
Ab,R
bhi,PRT
jitenge,V
,
Just,G_R
bought,G_V
this,DT
phone,G_N
as,PSP
I,G_PRP
got,G_V
a,DT
good,G_J
deal,G_N
,
Oh,G_PRT
Han,G_V
kya,G_J
ri,G_V
hai,G_V
,
I,PRP
very,R
well,R
know,V
the,DT
guy,N
And,PSP
I,PRP
know,V
the,DT
B2R,N
room,N
number,N
as,PSP
well,R
,
Suresh,N
Raina,N
ko,PSP
Bahut,X
Jald,N
Manish,N
Pandey,N
Replace,N
karega,N
,
Mera,G_N
bhai,G_N
bhi,G_N
aa,PSP
jata,G_N
,
LOL,PRT
facebook,N
pe,PSP
ek,SYM
video,N
Dekha,V
Shoib,N
akhtar,N
Misbah,N
ki,PSP
le,V
raha,V
tha,V
Usme,PRP
ha,PRT
ha,PRT
,
well,R
played,V
virat,X
bhaiya,N
What,PRP
an,DT
outstandings,N
innings,N
played,V
Bharat,X
Mata,N
ki,PRP
jai,N
keep,V
it,PRP
up,PRT
,
So,PSP
who,PRP
likes,V
our,DT
new,J
name,N
,
ðŸ˜¡ðŸ˜¡ðŸ˜³ðŸ˜³ðŸ˜¡ðŸ˜¡,null
,
karma,N
is,V
a,DT
bitch,N
dnt,V
worry,V
,
Chal,G_J
dekhiyo,G_V
,
i,G_PRP
know,G_V
,
this,DT
idiot,N
thinks,V
Me,PRP
bhi,N
Indian,N
freedom,N
strugglers,N
ki,PRP
dhajjiya,N
udake,N
famous,N
hojaunga,N
,
While,PSP
I,PRP
was,V
still,R
in,PSP
IITB,N
I,PRP
was,V
seeing,V
this,PRP
girl,N
and,CC
just,J
when,R
everything,N
was,V
going,V
right,R
she,PRP
met,V
this,PRP
older,J
dude,N
who,PRP
was,V
a,DT
businessman,N
She,PRP
dumped,V
me,PRP
for,PSP
him,PRP
in,PSP
an,DT
instant,N
and,CC
it,PRP
kinda,R
broke,V
my,DT
heart,N
After,PSP
a,DT
few,J
months,N
I,PRP
found,V
out,PRT
that,PRP
she,PRP
left,V
me,PRP
for,PSP
him,PRP
only,R
because,PSP
of,PSP
money,N
So,PSP
I,PRP
hacked,V
into,PSP
his,PRP
account,N
sent,V
fake,J
emails,N
to,PRT
a,DT
girl,N
who,PRP
was,V
a,DT
common,PRT
friend,N
of,PSP
my,DT
ex,N
showed,V
my,DT
ex,N
those,DT
fake,J
emails,N
this,PRP
startedhuge,X
trust,V
issues,N
and,CC
fights,V
between,J
the,DT
of,PSP
them,PRP
a,DT
few,J
months,N
later,R
she,PRP
came,V
to,PRT
me,PRP
broke,V
down,R
and,CC
apologized,V
we,PRP
had,V
great,J
sex,N
and,CC
then,R
I,PRP
told,V
her,PRP
to,PRT
f**k,N
off,PRT
,
Mohan,G_N
naga,G_N
Are,G_V
kya,G_J
kar,G_PRP
ri,G_N
h,G_PRT
I,G_PRP
mean,G_V
explain,G_V
thoda,G_N
,
cuz,PSP
what,PRP
women,N
like,R
to,PRT
do,V
,
raha,V
hoo,V
iss,PRP
phir,R
se,PSP
ko,PSP
dilwa,V
doo,V
What,PRP
do,V
you,PRP
think,V
,
pass,G_N
,
batch,N
H4,N
One,SYM
of,PSP
my,DT
wingies,N
had,V
a,DT
hot,J
girlfriend,N
from,PSP
IDC,N
I,PRP
was,V
very,R
jealous,J
and,CC
used,V
to,PRT
envy,V
this,PRP
guy,N
a,DT
lot,DT
They,PRP
broke,V
up,PRT
sometime,R
later,R
And,CC
I,PRP
was,V
the,DT
one,SYM
who,PRP
created,V
rift,N
between,J
them,PRP
Tough,J
luck,N
if,PSP
your,DT
love,V
last,J
we,PRP
enjoyed,V
listening,V
through,PSP
the,DT
door,N
every,SYM
Sunday,N
afternoon,N
,
I,PRP
lived,V
in,PSP
IITB,N
for,PSP
years,N
of,PSP
my,DT
life,N
my,DT
school,N
was,V
in,PSP
IITB,N
I,PRP
learned,V
swimming,V
there,R
learned,V
how,R
beautiful,J
things,N
could,V
get,V
saw,V
how,R
the,DT
world,N
famous,J
college,N
is,V
from,PSP
the,DT
inside,R
living,V
there,R
as,PSP
a,DT
family,N
member,N
by,PSP
not,R
giving,V
JEE,N
at,CC
all,DT
all,DT
my,DT
first,J
things,N
started,V
here,R
my,DT
1st,J
love,N
1st,J
jump,N
in,PSP
the,DT
swimming,N
pool,N
1st,J
time,N
saw,V
leopard,N
in,PSP
IITB,N
when,R
small,J
1st,J
dance,N
show,N
1st,J
cycle,N
IITB,N
student,N
gifted,V
me,PRP
I,PRP
used,V
to,PSP
bug,V
him,PRP
all,DT
the,DT
time,N
to,PSP
teach,V
me,PRP
I,PRP
attended,V
Mood,N
Indigo,N
since,CC
I,PRP
was,V
in,PSP
4th,J
grade,N
till,PSP
I,PRP
turned,V
without,PSP
fail,N
It,DT
was,V
like,PSP
a,DT
ritual,N
to,PSP
attend,V
whether,J
friends,N
with,CC
you,PRP
or,PSP
not,R
and,PSP
being,V
a,DT
family,N
member,N
entry,N
was,V
very,R
easy,J
if,PSP
not,R
phone,N
call,N
used,V
to,PSP
solve,V
the,DT
problem,N
After,PSP
moving,V
out,PSP
of,PSP
this,PRP
place,N
I,PRP
realized,V
I,PRP
was,V
living,V
in,PSP
heaven,N
the,DT
outside,J
world,N
is,V
so,R
sick,J
so,R
crowded,J
so,R
many,J
people,N
around,PSP
horns,N
yelling,V
at,CC
each,DT
other,J
etc,PRT
inside,PSP
IITB,N
inside,PSP
the,DT
only,J
noise,N
was,V
of,PSP
the,DT
calm,J
campus,N
and,PSP
the,DT
breezy,J
trees,N
I,PRP
Love,V
IITB,N
like,PSP
anything,N
and,PSP
I,PRP
miss,V
it,DT
to,PSP
the,DT
core,N
MUAAhh,PRT
to,PSP
IITB,N
,
Ahaan,G_N
Gujiya,G_N
or,CC
namastey,G_N
uhh,G_PRP
,
bhi,G_N
,
ni,G_PRT
,
Did,V
u,PRP
get,V
that,PRP
place,N
,
baat,G_N
na,G_PRT
smjha,G_N
,
chalti,G_N
rehti,G_N
hai,G_V
,
kya,J
hal,V
hai,V
,
ATTENTION,PRT
I,PRP
am,V
gonna,V
hack,V
this,PRP
page,N
soon,R
as,PSP
I,PRP
am,V
extremely,R
upset,J
by,PSP
the,DT
type,N
